HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
97,Focal segmental glomerulosclerosis,580.12,Non-proliferative glomerulonephritis,,0,16
98,Tall stature,,-,,-,0
99,Glomerulonephritis,580.1,Glomerulonephritis,,0,3
100,Nephrotic syndrome,580,Nephritis; nephrosis; renal sclerosis,,0,31
103,Polyuria,599.5,Frequency of urination and polyuria,,0,18
104,Renal agenesis,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
105,Enlarged kidneys,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
107,Renal cyst,586.2,"Cyst of kidney, acquired",,0,13
108,Renal corticomedullary cysts,586.2,"Cyst of kidney, acquired",,0,7
110,Renal dysplasia,751.21,Cystic kidney disease,Congenital,1,0
111,Renal juxtaglomerular cell hypertrophy/hyperplasia,586.3,Vascular disorders of kidney/hypertrophy,,0,1
112,Nephropathy,580,Nephritis; nephrosis; renal sclerosis,,0,20
113,Polycystic kidney dysplasia,586.2,"Cyst of kidney, acquired",,0,6
114,Proximal tubulopathy,,-,,-,0
117,Renal phosphate wasting,588,Disorders resulting from impaired renal function,,0,3
119,Abnormality of the genitourinary system,,-,,-,0
121,Nephrocalcinosis,,-,,-,0
122,Unilateral renal agenesis,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
123,Nephritis,580,Nephritis; nephrosis; renal sclerosis,,0,6
124,Renal tubular dysfunction,586,Other disorders of the kidney and ureters,,0,4
125,Pelvic kidney,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
126,Hydronephrosis,595,Hydronephrosis,,0,6
127,Renal salt wasting,586,Other disorders of the kidney and ureters,,0,9
128,Renal potassium wasting,588,Disorders resulting from impaired renal function,,0,4
130,Abnormality of the uterus,,-,,-,0
131,Uterine leiomyoma,218.1,Uterine leiomyoma,,0,0
132,Menorrhagia,627.4,Premenopausal menorrhagia,,0,13
133,Gonadal dysgenesis,758.1,Chromosomal anomalies,Congenital,1,0
134,Female hypogonadism,627.5,Premature menopause and other ovarian failure,,0,2
135,Hypogonadism,257.1,Testicular hypofunction,,0,24
136,Bifid uterus,,-,Congenital,-,0
137,Abnormality of the ovary,,-,,-,0
138,Ovarian cyst,628,Ovarian cyst,,0,1
139,Uterine prolapse,618.2,Uterine/Uterovaginal prolapse,,0,1
140,Abnormality of the menstrual cycle,626.1,Irregular menstrual cycle/bleeding,,0,2
141,Amenorrhea,626.11,Absent or infrequent menstruation,,0,1
142,Abnormality of the vagina,,-,,-,0
143,Rectovaginal fistula,,-,,-,0
144,Decreased fertility,,-,,-,0
145,Transverse vaginal septum,751.11,Congenital anomalies of female genital organs,Congenital,1,0
147,Polycystic ovaries,256.4,Polycystic ovaries,,0,5
148,Vaginal atresia,619.4,Noninflammatory disorders of vagina,Congenital,1,0
149,Ovarian gonadoblastoma,184,Cancer of other female genital organs,,0,2
150,Gonadoblastoma,187.8,Neoplasm of uncertain behavior of male genital organs,,0,0
151,Aplasia of the uterus,751.11,Congenital anomalies of female genital organs,Congenital,1,0
153,Abnormality of the mouth,,-,,-,0
154,Wide mouth,749,Congenital anomalies of face and neck,Congenital,1,0
155,Oral ulcer,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",,0,2
157,Abnormality of the tongue,,-,,-,0
158,Macroglossia,750.13,Congenital anomalies of mouth/tongue,Congenital,1,0
160,Narrow mouth,749,Congenital anomalies of face and neck,Congenital,1,0
161,Median cleft lip,749.1,Cleft palate,Congenital,1,0
162,Glossoptosis,529,Diseases and other conditions of the tongue,,0,0
163,Abnormality of the oral cavity,,-,,-,0
164,Abnormality of the teeth,,-,,-,0
166,Severe periodontitis,523.3,Periodontitis (acute or chronic),,0,1
169,Gingival fibromatosis,,-,,-,0
171,Microglossia,750.13,Congenital anomalies of mouth/tongue,Congenital,1,0
174,Abnormality of the palate,,-,,-,0
175,Cleft palate,749.1,Cleft palate,Congenital,1,0
176,Submucous cleft hard palate,,-,Congenital,-,0
178,Abnormality of lower lip,,-,,-,0
179,Thick lower lip vermilion,,-,,-,0
180,Lobulated tongue,750.13,Congenital anomalies of mouth/tongue,Congenital,1,0
183,Difficulty in tongue movements,,-,,-,0
185,Cleft soft palate,749.1,Cleft palate,Congenital,1,0
187,Broad alveolar ridges,,-,,-,0
188,Short upper lip,,-,,-,0
189,Narrow palate,,-,,-,0
190,Abnormality of oral frenula,,-,,-,0
191,Accessory oral frenulum,,-,Congenital,-,0
193,Bifid uvula,,-,Congenital,-,0
194,Open mouth,,-,,-,0
196,Lower lip pit,,-,Congenital,-,0
197,Abnormality of parotid gland,,-,,-,0
198,Absence of Stensen duct,,-,Congenital,-,0
199,Tongue nodules,293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]",,0,0
200,Short lingual frenulum,,-,Congenital,-,0
201,Pierre-Robin sequence,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
202,Oral cleft,749.1,Cleft palate,Congenital,1,0
204,Cleft upper lip,749.1,Cleft palate,Congenital,1,0
205,Pursed lips,,-,,-,0
206,Glossitis,529.1,Glossitis,,0,3
207,Triangular mouth,,-,,-,0
211,Trismus,350.1,Abnormal involuntary movements,,0,2
212,Gingival overgrowth,,-,,-,0
214,Lip telangiectasia,448,Disease of capillaries,,0,4
215,Thick upper lip vermilion,,-,,-,0
216,Broad secondary alveolar ridge,,-,,-,0
217,Xerostomia,527.7,Disturbance of salivary secretion,,0,3
218,High palate,,-,,-,0
219,Thin upper lip vermilion,,-,,-,0
220,Velopharyngeal insufficiency,750.13,Congenital anomalies of mouth/tongue,Congenital,1,0
221,Furrowed tongue,529,Diseases and other conditions of the tongue,,0,3
222,Gingival hyperkeratosis,,-,,-,0
224,Decreased taste sensation,350.6,Disturbances of sensation of smell and taste,,0,2
225,Gingival bleeding,,-,,-,0
227,Tongue telangiectasia,448,Disease of capillaries,,0,2
230,Gingivitis,523.1,Gingivitis,,0,7
232,Everted lower lip vermilion,,-,,-,0
233,Thin vermilion border,,-,,-,0
234,Abnormality of the head,,-,,-,0
235,Abnormality of the fontanelles or cranial sutures,,-,Congenital,-,0
237,Small anterior fontanelle,,-,Congenital,-,0
238,Hydrocephalus,331.1,Hydrocephalus,,0,24
239,Large fontanelles,,-,Congenital,-,0
242,Parietal bossing,,-,Pediatric,-,0
243,Trigonocephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
244,Brachyturricephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
246,Sinusitis,475,Chronic sinusitis,,0,17
248,Brachycephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
250,Dense calvaria,,-,,-,0
252,Microcephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
253,Progressive microcephaly,752.2,Other specified congenital anomalies of nervous system,Infantile,1,0
256,Macrocephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
260,Wide anterior fontanel,,-,Congenital,-,0
262,Turricephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
263,Oxycephaly,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
264,Abnormality of the mastoid,,-,,-,0
265,Mastoiditis,381.3,Mastoiditis & related conditions,,0,0
267,Cranial asymmetry,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
268,Dolichocephaly,749,Congenital anomalies of face and neck,Congenital,1,0
269,Prominent occiput,,-,,-,0
270,Delayed cranial suture closure,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
271,Abnormality of the face,,-,,-,0
272,Malar flattening,,-,,-,0
273,Facial grimacing,,-,,-,0
274,Small face,,-,,-,0
275,Narrow face,,-,,-,0
276,Long face,,-,,-,0
277,Abnormality of the mandible,,-,,-,0
278,Retrognathia,526.3,Anomalies of jaw size/symmetry,,0,7
280,Coarse facial features,,-,,-,0
282,Facial edema,782.3,Edema,,0,1
283,Broad face,,-,,-,0
284,Abnormality of the ocular region,,-,,-,0
286,Epicanthus,,-,Congenital,-,0
287,Increased facial adipose tissue,,-,,-,0
288,Abnormality of the philtrum,,-,,-,0
289,Broad philtrum,,-,,-,0
290,Abnormality of the forehead,,-,,-,0
292,Loss of facial adipose tissue,,-,,-,0
293,Full cheeks,,-,,-,0
294,Low anterior hairline,,-,,-,0
295,Doll-like facies,,-,,-,0
297,Facial hypotonia,358,Myoneural disorders,,0,0
298,Mask-like facies,,-,,-,0
300,Oval face,,-,,-,0
303,Mandibular prognathia,526.3,Anomalies of jaw size/symmetry,,0,12
307,Pointed chin,,-,,-,0
308,Microretrognathia,526.3,Anomalies of jaw size/symmetry,Congenital,1,0
311,Round face,,-,,-,0
316,Hypertelorism,376,Disorders of the orbit,Congenital,1,0
317,Facial myokymia,352.2,Facial nerve disorders [CN7],,0,2
319,Smooth philtrum,,-,,-,0
320,Bird-like facies,,-,Congenital,-,0
321,Square face,,-,,-,0
322,Short philtrum,,-,,-,0
324,Facial asymmetry,,-,Congenital,-,0
325,Triangular face,,-,,-,0
327,Hypoplasia of the maxilla,526.3,Anomalies of jaw size/symmetry,Congenital,1,0
329,Facial hemangioma,228.1,Hemangioma of skin and subcutaneous tissue,,0,0
331,Short chin,,-,,-,0
336,Prominent supraorbital ridges,,-,,-,0
337,Broad forehead,,-,,-,0
338,Hypomimic face,,-,,-,0
339,Pugilistic facies,,-,Congenital,-,0
340,Sloping forehead,,-,,-,0
341,Narrow forehead,,-,,-,0
343,Long philtrum,,-,,-,0
346,Whistling appearance,,-,,-,0
347,Micrognathia,526.3,Anomalies of jaw size/symmetry,,0,17
348,High forehead,,-,,-,0
349,Widow's peak,,-,,-,0
350,Small forehead,,-,,-,0
356,Abnormality of the outer ear,749,Congenital anomalies of face and neck,Congenital,1,0
358,Posteriorly rotated ears,,-,Congenital,-,0
359,Abnormality of the inner ear,,-,,-,0
360,Tinnitus,389.4,Tinnitus,,0,7
361,Pulsatile tinnitus (tympanic paraganglioma),,-,,-,0
362,Otosclerosis,383,Otosclerosis,,0,1
363,Abnormality of earlobe,,-,Congenital,-,0
364,Hearing abnormality,,-,,-,0
365,Hearing impairment,389,Hearing loss,,0,63
366,Abnormality of the nose,,-,,-,0
368,"Low-set, posteriorly rotated ears",,-,Congenital,-,0
369,Low-set ears,749,Congenital anomalies of face and neck,Congenital,1,0
370,Abnormality of the middle ear,,-,,-,0
372,Abnormality of the auditory canal,,-,,-,0
376,Incomplete partition of the cochlea type II,,-,,-,0
377,Abnormality of the pinna,,-,,-,0
378,Cupped ear,749,Congenital anomalies of face and neck,Congenital,1,0
381,Stapes ankylosis,741.1,Ankylosis of joint,,0,0
383,Abnormality of periauricular region,,-,,-,0
384,Preauricular skin tag,749,Congenital anomalies of face and neck,Congenital,1,0
385,Small earlobe,,-,,-,0
387,Absent earlobe,,-,Congenital,-,0
388,Otitis media,381.1,Otitis media,,0,6
389,Chronic otitis media,381.1,Otitis media,,0,2
391,Thickened helices,,-,,-,0
394,Lop ear,749,Congenital anomalies of face and neck,Congenital,1,0
395,Prominent antihelix,,-,,-,0
396,Overfolded helix,,-,,-,0
399,Prelingual sensorineural hearing impairment,749,Congenital anomalies of face and neck,Congenital,1,0
400,Macrotia,749,Congenital anomalies of face and neck,Congenital,1,0
402,Stenosis of the external auditory canal,380,Disorders of external ear,,0,0
403,Recurrent otitis media,381.1,Otitis media,,0,22
405,Conductive hearing impairment,389.2,Conductive hearing loss,,0,4
407,Sensorineural hearing impairment,389.1,Sensorineural hearing loss,,0,76
408,Progressive sensorineural hearing impairment,389.1,Sensorineural hearing loss,,0,4
410,Mixed hearing impairment,389,Hearing loss,,0,0
411,Protruding ear,,-,Congenital,-,0
413,Atresia of the external auditory canal,749,Congenital anomalies of face and neck,Congenital,1,0
414,Bulbous nose,,-,,-,0
417,Slender nose,,-,,-,0
418,Narrow nasal ridge,,-,,-,0
420,Short nasal septum,,-,,-,0
421,Epistaxis,477,Epistaxis or throat hemorrhage,,0,26
422,Abnormality of the nasal bridge,,-,,-,0
426,Prominent nasal bridge,,-,,-,0
429,Abnormality of the nasal alae,,-,,-,0
430,Underdeveloped nasal alae,,-,Congenital,-,0
431,Wide nasal bridge,,-,,-,0
434,Nasal mucosa telangiectasia,448,Disease of capillaries,,0,2
437,Depressed nasal tip,,-,,-,0
444,Convex nasal ridge,,-,,-,0
445,Wide nose,,-,,-,0
446,Narrow nasal bridge,,-,,-,0
447,Pear-shaped nose,,-,,-,0
448,Prominent nose,,-,,-,0
451,Triangular nasal tip,,-,,-,0
452,Choanal stenosis,749,Congenital anomalies of face and neck,Congenital,1,0
453,Choanal atresia,749,Congenital anomalies of face and neck,Congenital,1,0
454,Flared nostrils,,-,,-,0
455,Broad nasal tip,,-,,-,0
456,Bifid nasal tip,,-,Congenital,-,0
457,Depressed nasal ridge,,-,,-,0
458,Anosmia,350.6,Disturbances of sensation of smell and taste,,0,6
460,Narrow nose,,-,,-,0
463,Anteverted nares,,-,Congenital,-,0
464,Abnormality of the neck,,-,,-,0
465,Webbed neck,749,Congenital anomalies of face and neck,Congenital,1,0
466,Limited neck range of motion,,-,,-,0
467,Neck muscle weakness,,-,,-,0
468,Increased adipose tissue around the neck,,-,,-,0
470,Short neck,,-,,-,0
471,Gastrointestinal angiodysplasia,537.1,Lesions of stomach and duodenum,,0,3
472,Long neck,,-,,-,0
473,Torticollis,723.1,Torticollis,,0,10
474,Thickened nuchal skin fold,,-,Congenital,-,0
475,Broad neck,,-,,-,0
476,Cystic hygroma,228,"Hemangioma and lymphangioma, any site",,0,0
478,Abnormality of the eye,,-,,-,0
480,Retinal coloboma,753.2,Congenital anomalies of posterior segment of eye,Congenital,1,0
481,Abnormality of the cornea,,-,,-,0
482,Microcornea,753,Congenital anomalies of the eye,Congenital,1,0
483,Astigmatism,367.2,Astigmatism,,0,10
484,Hyperopic astigmatism,367.2,Astigmatism,,0,0
485,Megalocornea,753,Congenital anomalies of the eye,Congenital,1,0
486,Strabismus,378,Strabismus and other disorders of binocular eye movements,,0,61
487,Congenital strabismus,378,Strabismus and other disorders of binocular eye movements,Congenital,1,0
488,Retinopathy,362.3,Other nondiabetic retinopathy,,0,19
490,Deeply set eye,,-,Congenital,-,0
491,Keratitis,370,Keratitis,,0,7
492,Abnormality of the eyelid,,-,,-,0
493,Abnormality of the fovea,,-,,-,0
494,Downslanted palpebral fissures,,-,,-,0
495,Recurrent corneal erosions,364.4,Corneal degenerations,,0,6
496,Abnormality of eye movement,378,Strabismus and other disorders of binocular eye movements,,0,7
498,Blepharitis,371.3,Inflammation of eyelids,,0,3
499,Abnormality of the eyelashes,,-,,-,0
501,Glaucoma,365,Glaucoma,,0,28
502,Abnormality of the conjunctiva,,-,,-,0
503,Tortuosity of conjunctival vessels,,-,,-,0
504,Abnormality of vision,,-,,-,0
505,Visual impairment,367.9,Blindness and low vision,,0,83
506,Telecanthus,374,Other disorders of eyelids,,0,3
508,Ptosis,374.3,Ptosis of eyelid,,0,52
509,Conjunctivitis,369.5,"Conjunctivitis, infectious",,0,16
510,Retinitis pigmentosa,362.7,Hereditary retinal dystrophies,,0,50
511,Vertical supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements,,0,3
512,Abnormal electroretinogram,,-,,-,0
514,Slow saccadic eye movements,378.2,Nystagmus and other irregular eye movements,,0,12
518,Cataract,366,Cataract,,0,72
519,Congenital cataract,753.1,Congenital cataract and lens anomalies,Congenital,1,0
520,Proptosis,242.3,Exophthalmos,,0,8
522,Alacrima,375,Disorders of lacrimal system,,0,4
523,Subcapsular cataract,366,Cataract,,0,4
524,Conjunctival telangiectasia,448,Disease of capillaries,,0,4
526,Aniridia,753,Congenital anomalies of the eye,Congenital,1,0
527,Long eyelashes,,-,,-,0
528,Anophthalmia,753,Congenital anomalies of the eye,Congenital,1,0
529,Progressive visual loss,367.9,Blindness and low vision,,0,14
531,Corneal crystals,364,Corneal opacity and other disorders of cornea,,0,2
532,Chorioretinal abnormality,,-,,-,0
533,Chorioretinal atrophy,363.4,Choroidal degenerations,,0,6
534,Abnormality of the eyebrow,,-,,-,0
535,Sparse eyebrow,,-,,-,0
537,Epicanthus inversus,,-,Congenital,-,0
538,Pseudopapilledema,377,Disorders of optic nerve and visual pathways,,0,0
539,Abnormality of refraction,,-,,-,0
540,Hypermetropia,367.8,Hypermetropia,,0,11
541,Retinal detachment,361,Retinal detachments and defects,,0,19
542,Impaired ocular adduction,378,Strabismus and other disorders of binocular eye movements,,0,0
543,Optic disc pallor,377.1,Optic atrophy,,0,19
544,External ophthalmoplegia,378.5,Paralytic strabismus,,0,9
545,Myopia,367.1,Myopia,,0,40
546,Retinal degeneration,362,Other retinal disorders,,0,24
547,Tapetoretinal degeneration,362.7,Hereditary retinal dystrophies,,0,3
548,Cone-rod dystrophy,362.7,Hereditary retinal dystrophies,,0,11
549,Abnormal conjugate eye movement,378,Strabismus and other disorders of binocular eye movements,,0,1
550,Abolished electroretinogram (ERG),,-,,-,0
551,Abnormality of color vision,368.5,Color vision deficiencies,Congenital,1,0
552,Tritanomaly,368.5,Color vision deficiencies,,0,3
554,Uveitis,371.1,"Uveitis, noninfectious or NOS",,0,2
555,Leukocoria,360,Disorders of the globe,Congenital,1,0
556,Retinal dystrophy,362.7,Hereditary retinal dystrophies,,0,14
557,Buphthalmos,753,Congenital anomalies of the eye,Congenital,1,0
558,Rieger anomaly,,-,Congenital,-,0
559,Corneal scarring,364,Corneal opacity and other disorders of cornea,,0,5
561,Absent eyelashes,,-,Congenital,-,0
563,Keratoconus,364.41,Keratoconus,,0,6
564,Lacrimal duct atresia,749,Congenital anomalies of face and neck,Congenital,1,0
565,Esotropia,378.1,Strabismus (not specified as paralytic),,0,11
567,Chorioretinal coloboma,753.2,Congenital anomalies of posterior segment of eye,Congenital,1,0
568,Microphthalmos,753,Congenital anomalies of the eye,Congenital,1,0
570,Abnormality of saccadic eye movements,378.2,Nystagmus and other irregular eye movements,,0,0
571,Hypometric saccades,378.2,Nystagmus and other irregular eye movements,,0,5
572,Visual loss,367.9,Blindness and low vision,,0,19
573,Retinal hemorrhage,362.8,Retinal hemorrhage/ischemia,,0,4
574,Thick eyebrow,,-,,-,0
575,Scotoma,368.4,Visual field defects,,0,4
576,Centrocecal scotoma,368.4,Visual field defects,,0,2
577,Exotropia,378.1,Strabismus (not specified as paralytic),,0,8
579,Nasolacrimal duct obstruction,375,Disorders of lacrimal system,,0,0
580,Pigmentary retinopathy,362.7,Hereditary retinal dystrophies,,0,17
581,Blepharophimosis,374,Other disorders of eyelids,,0,2
582,Upslanted palpebral fissure,,-,,-,0
585,Band keratopathy,364.4,Corneal degenerations,,0,3
586,Shallow orbits,,-,,-,0
587,Abnormality of the optic nerve,,-,,-,0
588,Optic nerve coloboma,377,Disorders of optic nerve and visual pathways,Congenital,1,0
589,Coloboma,753,Congenital anomalies of the eye,Congenital,1,0
590,Progressive external ophthalmoplegia,378,Strabismus and other disorders of binocular eye movements,,0,13
591,Abnormality of the sclera,,-,,-,0
592,Blue sclerae,753,Congenital anomalies of the eye,Congenital,1,0
593,Abnormality of the anterior chamber,,-,,-,0
594,Shallow anterior chamber,,-,,-,0
597,Ophthalmoparesis,378.5,Paralytic strabismus,,0,18
598,Abnormality of the ear,,-,Congenital,-,0
600,Abnormality of the pharynx,,-,,-,0
601,Hypotelorism,,-,Congenital,-,0
602,Ophthalmoplegia,378.5,Paralytic strabismus,,0,13
603,Central scotoma,368.4,Visual field defects,,0,6
605,Supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements,,0,5
607,Periorbital wrinkles,,-,,-,0
608,Macular degeneration,362.2,Degeneration of macula and posterior pole of retina,,0,13
609,Optic nerve hypoplasia,377.3,Optic neuritis/neuropathy,,0,5
611,Choroid coloboma,753,Congenital anomalies of the eye,Congenital,1,0
612,Iris coloboma,753,Congenital anomalies of the eye,Congenital,1,0
613,Photophobia,368.9,Subjective visual disturbances,,0,42
614,Abnormality of the nasolacrimal system,,-,,-,0
615,Abnormality of the pupil,,-,,-,0
616,Miosis,379.4,Anomalies of pupillary function,,0,2
618,Blindness,367.9,Blindness and low vision,,0,33
619,Impaired convergence,,-,,-,0
620,Dacrocystitis,369,Infection of the eye,,0,0
621,Entropion,374.1,Ectropion or entropion,,0,5
622,Blurred vision,368,Visual disturbances,,0,4
623,Supranuclear ophthalmoplegia,333.8,Other degenerative diseases of the basal ganglia,,0,3
625,Cleft eyelid,749,Congenital anomalies of face and neck,Congenital,1,0
627,Posterior embryotoxon,753,Congenital anomalies of the eye,Congenital,1,0
629,Periorbital fullness,,-,,-,0
632,Lacrimation abnormality,375,Disorders of lacrimal system,,0,1
633,Decreased lacrimation,375.1,Dry eyes,,0,1
634,Impaired ocular abduction,378,Strabismus and other disorders of binocular eye movements,,0,0
635,Blue irides,,-,,-,0
636,Upper eyelid coloboma,753,Congenital anomalies of the eye,Congenital,1,0
637,Long palpebral fissure,,-,,-,0
639,Nystagmus,378.2,Nystagmus and other irregular eye movements,,0,145
640,Gaze-evoked nystagmus,378.2,Nystagmus and other irregular eye movements,,0,12
641,Dysmetric saccades,378.2,Nystagmus and other irregular eye movements,,0,7
642,Red-green dyschromatopsia,368.5,Color vision deficiencies,,0,3
643,Blepharospasm,333.4,Torsion dystonia,,0,5
646,Amblyopia,368.1,Amblyopia,,0,7
647,Sclerocornea,753,Congenital anomalies of the eye,Congenital,1,0
648,Optic atrophy,377.1,Optic atrophy,,0,88
649,Abnormality of vision evoked potentials,,-,,-,0
650,Reduced amplitude of pattern visual evoked potentials,,-,,-,0
651,Diplopia,368.2,Diplopia and disorders of binocular vision,,0,8
652,Lower eyelid coloboma,753,Congenital anomalies of the eye,Congenital,1,0
653,Sparse eyelashes,,-,,-,0
654,Decreased electroretinogram (ERG) amplitude,,-,,-,0
655,Vitreoretinal degeneration,362.7,Hereditary retinal dystrophies,,0,5
656,Ectropion,374.1,Ectropion or entropion,,0,8
657,Oculomotor apraxia,378.2,Nystagmus and other irregular eye movements,Congenital,1,0
658,Eyelid apraxia,374,Other disorders of eyelids,,0,3
659,Peters anomaly,753,Congenital anomalies of the eye,Congenital,1,0
660,Lipemia retinalis,,-,,-,0
661,Palpebral fissure narrowing on adduction,,-,,-,0
662,Night blindness,368,Visual disturbances,,0,32
664,Synophrys,,-,,-,0
666,Horizontal nystagmus,378.2,Nystagmus and other irregular eye movements,,0,11
667,Phthisis bulbi,360,Disorders of the globe,,0,1
668,Hypodontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
670,Carious teeth,521.1,Dental caries,,0,17
674,Anodontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
675,Macrodontia of permanent maxillary central incisor,,-,,-,0
677,Oligodontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
678,Dental crowding,524.3,Anomalies of tooth position/malocclusion,,0,5
679,Taurodontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
680,Delayed eruption of primary teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
682,Abnormality of dental enamel,,-,,-,0
683,Grayish enamel,,-,,-,0
